Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-01-2020,24.2,31.4,27,88,9.6,3.6,6,280,4,W
02-01-2020,24,31,27.4,87,16.7,3.4,6,280,3,W
03-01-2020,24.8,32.2,28.4,84,2,2.5,7,270,3,W
04-01-2020,22,31.4,27.1,90,36.6,4.6,8,270,2,C
05-01-2020,25.4,30.4,26.8,92,3.7,0.8,6,270,2,C
06-01-2020,24.6,29.6,26.3,92,20.3,0.2,4,360,2,C
07-01-2020,23.6,30.4,26.7,94,28.8,3.2,5,280,2,C
08-01-2020,24.6,30.2,26.9,93,28,3.1,5,360,2,C
09-01-2020,24.2,30.2,26.4,90,13.5,2.1,4,260,2,C
10-01-2020,25.2,29.8,26.9,93,2.5,2.9,6,290,2,W
11-01-2020,24.6,29.4,27.1,89,6.4,0.4,3,330,1,C
12-01-2020,24.2,31.6,27.7,86,8.6,0.4,4,320,2,W
14-01-2020,24.8,30.6,27.8,87,11,7.8,6,300,2,W
16-01-2020,26,31,27.6,91,0,8.4,4,340,1,C
17-01-2020,24.8,31.8,27.8,88,0,4.6,6,300,2,C
18-01-2020,24.6,31.8,28.6,82,0,8.5,4,350,2,C
19-01-2020,26,32.2,29.3,82,0,10.3,4,360,2,N
20-01-2020,25.4,32.2,29.3,85,0,10.3,5,250,2,C
22-01-2020,25.4,32.4,29,83,0,4.7,4,350,2,C
23-01-2020,25.4,33,29.4,80,0,9.4,4,330,2,C
25-01-2020,26.2,31.4,27.2,92,0,4.9,6,280,2,C
26-01-2020,24.6,31,27.8,86,113.6,4.7,4,350,2,C
27-01-2020,26,31.4,28.9,84,0,8.6,5,350,2,N
28-01-2020,26,32.2,29,84,0,8.8,6,330,2,C
29-01-2020,26.4,31.8,29.1,85,0,8.1,6,300,2,C
30-01-2020,26.2,31.4,28.7,84,0,6.5,5,270,1,C
31-01-2020,26,32.2,28.5,85,0,1.7,5,300,2,W
01-02-2020,25,31.8,27.7,88,1,4.2,5,310,2,C
02-02-2020,25.8,30.6,27,90,1,6.3,5,270,2,W
03-02-2020,25,31.6,27.2,90,2.7,2.6,5,330,2,C
04-02-2020,22.2,31,28.2,85,60.5,5.3,4,200,2,C
05-02-2020,25,31.4,27.6,86,54.2,6.1,4,290,1,C
06-02-2020,25.2,31,27.8,87,13.4,5,6,340,3,NW
07-02-2020,25,31.2,26.8,89,8.2,7.1,6,300,2,C
08-02-2020,22.6,31.6,27.7,85,29.5,3.6,8,260,3,W
10-02-2020,25.4,30.8,27.5,88,0.5,1.6,5,330,2,N
11-02-2020,24.8,30.6,27.6,87,0,6.2,4,350,1,C
14-02-2020,22.4,31.6,28.7,80,0,3.4,5,310,2,N
15-02-2020,26.6,31.6,28,90,0,8.8,4,280,1,C
16-02-2020,25.4,31.6,27.8,87,0.3,3.5,5,350,2,C
17-02-2020,25.8,31,27.6,88,0.4,3.1,4,260,1,C
18-02-2020,25.6,30.8,27.6,90,21.3,1.6,7,270,2,W
19-02-2020,25,30.4,27,90,4.5,3.7,9,310,3,W
20-02-2020,24,27.4,25.7,93,114,3.8,3,280,2,W
21-02-2020,23.8,30.4,27.5,85,12.2,0.8,7,270,3,W
22-02-2020,23.2,31,27.7,87,0,7.3,6,290,2,C
23-02-2020,23,31.2,27.7,90,31,8,5,290,3,NW
24-02-2020,22,28.4,26.5,93,5.1,6.3,6,290,3,W
25-02-2020,25,31,27.4,88,6.5,0.5,9,300,4,W
26-02-2020,26,30.6,28,87,0,7.5,5,330,2,C
27-02-2020,24.8,31.6,27.6,90,4.5,2.8,8,280,3,C
28-02-2020,25.2,31,27.3,90,14.2,7.9,5,280,2,C
29-02-2020,25.2,30.8,27.1,90,8.2,15.5,6,290,3,C
01-03-2020,24.8,29.8,26.4,94,48.4,6.4,6,310,2,C
02-03-2020,25,30.6,27.5,90,40.1,0.7,5,290,2,W
03-03-2020,26,31,28.2,89,0,6,5,310,2,C
04-03-2020,25,31,27.1,88,21.5,7.3,4,270,1,C
05-03-2020,24.6,31.2,27.2,90,27.4,4.5,4,350,2,C
06-03-2020,24.8,31,27.5,88,0,2.1,5,320,2,W
07-03-2020,25.2,31.2,27.6,89,3.7,4.8,10,290,2,C
08-03-2020,25.4,31.4,27,91,3,6.3,5,340,2,C
09-03-2020,25.4,30.6,27.4,90,4.3,5.6,4,360,1,C
10-03-2020,25.2,30.6,27.9,87,0,2.8,4,350,1,C
11-03-2020,25.4,31.8,28.8,87,0,3.1,4,360,2,W
12-03-2020,26.6,31.8,28.9,85,0,9.2,5,320,2,C
13-03-2020,25.6,31.8,28.6,83,0,5.8,6,320,1,C
14-03-2020,27.2,33,29.3,84,0,8.5,7,360,2,C
15-03-2020,25.8,32.2,28.8,85,3.3,5.4,10,360,2,C
16-03-2020,24,32.8,28.4,86,10,4.8,5,290,2,C
17-03-2020,25.6,32.2,28.5,88,13.6,6,7,340,2,N
18-03-2020,25,33.4,28.9,81,16.7,6.2,4,40,2,C
19-03-2020,24.4,31.8,26.9,91,0.2,6.4,5,350,2,C
20-03-2020,24.6,31.6,27.8,88,6.2,3.7,5,330,2,C
21-03-2020,25.2,31.6,28.2,84,0,6.6,6,360,2,C
22-03-2020,26.2,32,29.1,80,0,7,3,360,2,C
23-03-2020,26.2,32.2,28.8,85,0.2,10.3,4,310,2,E
24-03-2020,24.6,31.4,28,84,0,5.2,5,320,2,C
25-03-2020,25.4,31.8,28.7,85,1.9,4.3,7,350,2,C
26-03-2020,26.2,32.8,28.9,84,5.6,7.9,6,360,2,C
27-03-2020,25.2,32.6,28.9,84,2,9,4,360,1,C
28-03-2020,26.4,32,28.9,84,0,7.7,5,290,2,C
29-03-2020,25.8,32.2,28.2,86,0,6.3,4,360,1,C
30-03-2020,26.6,32,27.7,88,0,5.7,4,290,2,C
31-03-2020,25.2,31.2,26.8,94,23.7,4.6,3,340,1,C
01-04-2020,24.6,31.6,28.3,86,14.4,5.2,3,350,2,C
02-04-2020,24.6,32.2,27.8,88,91.6,7.5,4,350,1,C
03-04-2020,24.8,32.2,29.1,84,0.5,7.3,5,340,2,C
06-04-2020,25.2,31.4,27.3,90,8.4,2.7,3,300,1,C
07-04-2020,24.8,30.6,26.9,90,32.5,3,4,350,1,C
08-04-2020,24.8,30.8,27.2,88,3,6,4,350,1,C
09-04-2020,25.2,34.2,28.2,84,0,1.5,6,140,2,C
10-04-2020,25.6,34.4,29,82,0,6.5,4,80,2,C
11-04-2020,25.2,32,27.1,91,1.2,7.5,4,360,1,C
12-04-2020,25,32.6,27.3,89,4.7,6.1,8,210,2,C
13-04-2020,23.6,31.6,27.9,87,43.5,5.7,4,350,1,C
14-04-2020,22.4,31.6,28.4,84,0,9.6,5,340,2,C
15-04-2020,25.8,33,29.4,82,0,9.3,6,340,2,C
19-04-2020,25.6,31.8,28.4,89,0,7,3,300,1,C
20-04-2020,26.4,33.2,29.6,84,2,6.4,6,330,1,C
21-04-2020,24.6,32.4,28.1,88,56.5,10.4,4,60,2,C
22-04-2020,25.4,34.6,29.2,83,15,5.7,7,120,2,C
23-04-2020,27.6,34.2,30.8,76,0,10,6,100,2,E
24-04-2020,27.4,33.8,29.5,78,0,8.4,5,160,2,C
25-04-2020,26,33.4,29.1,82,4.6,7.8,4,110,2,C
26-04-2020,26.2,32,27.8,88,0,2.4,4,340,1,C
27-04-2020,25.2,34.2,29.6,79,7.7,1.3,6,130,2,C
29-04-2020,24.8,33.4,29.9,76,6,0.4,7,80,3,E
02-05-2020,24.4,30.4,27.3,92,48.5,9.2,4,280,2,C
03-05-2020,25.2,32.2,28.8,82,0,0.2,4,160,1,C
04-05-2020,26.2,33.2,29.8,77,0,6.9,6,120,2,C
05-05-2020,27,33.6,29.9,80,0,7.9,6,350,2,C
06-05-2020,27.2,33.8,30.3,77,0,7.4,5,120,3,E
07-05-2020,25.4,34.2,30.3,76,5.6,7.7,5,110,2,E
09-05-2020,27.8,33.8,29.5,81,0,4.8,5,180,2,C
10-05-2020,24.6,33.6,28.8,81,43.5,5.9,3,45,1,C
11-05-2020,27.2,33.2,29.1,81,1,8.9,6,45,3,NE
12-05-2020,25.6,33.4,29.2,82,0,4.5,6,90,2,E
13-05-2020,28,33.8,30.5,76,0,9.1,4,150,2,C
14-05-2020,27,33.2,29.8,76,0,7.1,6,130,2,C
15-05-2020,25.8,33.2,28.7,81,0,8.8,7,120,2,C
16-05-2020,25.6,35,30.1,76,0,4.6,5,100,2,C
17-05-2020,26.6,35.4,28.9,84,0,9.4,5,110,2,C
18-05-2020,25.2,32.4,28.5,88,21.8,8.5,5,340,2,C
19-05-2020,25.2,33.6,28.2,86,21,2.1,9,120,3,SE
20-05-2020,25.6,33.4,29,87,8.1,4.7,6,350,2,C
21-05-2020,24,31.8,28,86,83,9.7,4,340,1,C
24-05-2020,25.8,33,29.2,85,0.4,9.1,5,340,2,C
25-05-2020,24.8,32.2,29.2,83,0,9.6,5,10,2,C
26-05-2020,26.4,32,28.7,85,6.3,8.3,3,40,2,C
27-05-2020,24.6,32.2,28.7,84,0,6,5,10,1,C
28-05-2020,26,30.8,27.7,89,0,7.7,4,360,2,E
29-05-2020,24.8,32,28,88,0,0.7,4,330,1,C
30-05-2020,26.4,33.6,29.6,77,0,9.4,4,140,2,C
31-05-2020,25,33.4,28.8,82,28.2,8.8,6,350,3,E
03-06-2020,25.8,32.2,29,80,0,1.8,6,110,3,SE
04-06-2020,26.2,33.4,29,81,0,4.2,5,100,2,E
05-06-2020,25.4,33.4,28.5,83,0,10.2,5,100,2,C
06-06-2020,25.2,31.6,27.9,86,0,10.3,5,330,1,C
07-06-2020,25.6,32.2,28.4,82,0,7.9,5,120,1,C
08-06-2020,25.8,32.4,28.7,83,0,7.8,5,80,2,C
09-06-2020,26,32.8,29.1,82,0,8.6,5,20,2,C
10-06-2020,25.6,32.4,29,80,2.6,9.4,5,120,2,C
11-06-2020,26,32.2,29,83,0,8.2,6,120,2,C
12-06-2020,24.4,32.6,28.3,82,19,8.8,7,100,2,E
15-06-2020,26,33.8,30.2,80,0,6.7,6,110,2,C
16-06-2020,26.6,33.2,28.7,84,0.5,9.4,6,120,2,C
17-06-2020,24.2,34,28.6,78,0,7.6,6,100,3,E
18-06-2020,25.4,33.6,28.8,84,0,10.5,4,80,2,C
19-06-2020,26.4,33.2,29.4,82,0,9.2,5,90,2,E
21-06-2020,24.2,33.4,28.9,77,0,7.2,5,120,2,C
22-06-2020,25.8,33.2,29.6,78,0,6.4,7,100,4,E
23-06-2020,25,33,28.7,78,0,7,5,100,2,C
27-06-2020,24.2,33,27.8,80,0,8.7,5,100,2,C
28-06-2020,24.2,33.6,28,82,0,9.9,6,50,1,C
29-06-2020,24.8,34.2,28.7,76,0,9.9,5,120,2,C
30-06-2020,24.6,34,28.6,80,0,9.8,6,140,2,C
02-07-2020,25,33.2,27.3,84,0,8.6,8,240,4,SE
03-07-2020,24,33.2,28.7,82,31.2,7.6,5,230,2,C
04-07-2020,24.2,32.2,28.4,79,0,7.2,4,120,2,C
05-07-2020,25.8,32,28.8,76,0,9.8,7,100,3,E
07-07-2020,24.2,32.4,27.7,82,20.2,2.4,3,100,1,C
09-07-2020,24.2,32.6,28,82,0,9.7,4,140,2,C
10-07-2020,25.2,32.6,28.4,85,0,8,3,300,1,C
