iteration,weight1,weight2,weight3,weight4,weight_bias,dw1,dw2,dw3,dw4,dw_bias,activation
1,0.5,0.8,0.7,0.3,0.5,0.0103511,0.00710368,0.00284147,0.000405925,0.00202962,0.998983
2,0.498965,0.79929,0.699716,0.299959,0.499797,0.0164921,0.0100972,0.00471202,0.000673146,0.00336573,0.998325
3,0.497316,0.79828,0.699245,0.299892,0.49946,0.0161666,0.011007,0.00447161,0.00068794,0.0034397,0.998308
4,0.495699,0.797179,0.698797,0.299823,0.499116,0.0158476,0.0106799,0.00516771,0.000689028,0.00344514,0.998325
5,0.494114,0.796111,0.698281,0.299754,0.498772,0.0103227,0.00743236,0.00289036,0.000412909,0.00206455,0.999013
6,0.493082,0.795368,0.697992,0.299713,0.498566,0.00556301,0.00401773,0.00175132,0.000412075,0.00103019,0.999515
7,0.492526,0.794966,0.697817,0.299672,0.498463,0.0133137,0.00984054,0.00405199,0.000868283,0.00289428,0.998628
8,0.491194,0.793982,0.697411,0.299585,0.498173,0.0115553,0.00785762,0.0034666,0.000462213,0.00231106,0.99892
9,0.490039,0.793196,0.697065,0.299539,0.497942,0.0218637,0.0144101,0.00695662,0.000993803,0.00496902,0.997671
10,0.487852,0.791755,0.696369,0.299439,0.497445,0.0159328,0.0100799,0.00487738,0.000325159,0.00325159,0.998514
11,0.486259,0.790747,0.695881,0.299407,0.49712,0.00843648,0.00578055,0.00234347,0.000312462,0.00156231,0.999304
12,0.485415,0.790169,0.695647,0.299376,0.496964,0.0119333,0.00845276,0.00397777,0.000497221,0.00248611,0.998887
13,0.484222,0.789324,0.695249,0.299326,0.496715,0.0195144,0.0121965,0.00569171,0.00040655,0.0040655,0.998185
14,0.482271,0.788104,0.69468,0.299285,0.496309,0.0276967,0.0193233,0.00708521,0.00064411,0.0064411,0.997128
15,0.479501,0.786172,0.693971,0.299221,0.495664,0.00771136,0.00531818,0.00159545,0.000265909,0.00132954,0.999447
16,0.47873,0.78564,0.693812,0.299194,0.495531,0.0044758,0.003455,0.00117784,0.000314091,0.000785228,0.999678
17,0.478282,0.785295,0.693694,0.299163,0.495453,0.00835351,0.00603309,0.00201103,0.000618779,0.00154695,0.999358
18,0.477447,0.784691,0.693493,0.299101,0.495298,0.0120525,0.0082713,0.00330852,0.000708968,0.00236323,0.999013
19,0.476242,0.783864,0.693162,0.29903,0.495062,0.00657469,0.00438312,0.00196087,0.000346036,0.00115345,0.999534
20,0.475584,0.783426,0.692966,0.298996,0.494947,0.00903303,0.00673049,0.00265677,0.000531354,0.00177118,0.999276
21,0.474681,0.782753,0.6927,0.298942,0.494769,0.0102539,0.00645617,0.00322809,0.000379775,0.00189887,0.999231
22,0.473656,0.782107,0.692378,0.298904,0.49458,0.00963262,0.00698837,0.00283312,0.000755499,0.00188875,0.999239
23,0.472692,0.781408,0.692094,0.298829,0.494391,0.0179461,0.0140448,0.00390132,0.000780265,0.00390132,0.998406
24,0.470898,0.780004,0.691704,0.298751,0.494001,0.0113807,0.007364,0.00379358,0.00111576,0.00223152,0.999116
25,0.46976,0.779268,0.691325,0.298639,0.493777,0.0109649,0.00776684,0.00434029,0.000456873,0.00228436,0.999098
26,0.468663,0.778491,0.690891,0.298594,0.493549,0.017594,0.0105564,0.00563008,0.00070376,0.0035188,0.998614
27,0.466904,0.777435,0.690328,0.298523,0.493197,0.0123259,0.0083816,0.00394428,0.000986071,0.00246518,0.999052
28,0.465671,0.776597,0.689933,0.298425,0.492951,0.0124144,0.00835582,0.00358107,0.000477475,0.00238738,0.999098
29,0.46443,0.775762,0.689575,0.298377,0.492712,0.0145115,0.00948831,0.00390695,0.000558136,0.00279068,0.998952
30,0.462979,0.774813,0.689185,0.298321,0.492433,0.0169934,0.01157,0.00578499,0.000723123,0.00361562,0.998628
31,0.461279,0.773656,0.688606,0.298249,0.492071,0.0181353,0.0117124,0.0060451,0.000755638,0.00377819,0.998586
32,0.459466,0.772484,0.688002,0.298173,0.491693,0.0125946,0.00792991,0.00349849,0.000932931,0.00233233,0.999167
33,0.458206,0.771691,0.687652,0.29808,0.49146,0.00856541,0.0067535,0.00247079,0.000164719,0.00164719,0.999425
34,0.45735,0.771016,0.687405,0.298063,0.491295,0.00766444,0.00585284,0.00195095,0.000278707,0.00139353,0.999524
35,0.456583,0.770431,0.68721,0.298036,0.491156,0.0202175,0.0127907,0.00618903,0.000412602,0.00412602,0.998514
36,0.454561,0.769152,0.686591,0.297994,0.490743,0.0220945,0.0141405,0.00530269,0.000883782,0.00441891,0.998438
37,0.452352,0.767738,0.68606,0.297906,0.490302,0.0146562,0.00932664,0.00346418,0.000532951,0.00266476,0.999107
38,0.450886,0.766805,0.685714,0.297853,0.490035,0.0210904,0.0133429,0.00645623,0.000430415,0.00430415,0.998514
39,0.448777,0.765471,0.685068,0.29781,0.489605,0.0288412,0.0196645,0.00852126,0.00131096,0.00655482,0.997694
40,0.445893,0.763504,0.684216,0.297678,0.488949,0.0161287,0.0107525,0.00474374,0.000632498,0.00316249,0.998973
41,0.44428,0.762429,0.683742,0.297615,0.488633,-7.07582e-09,-3.70638e-09,-6.73887e-09,-2.80786e-09,-1.12315e-09,0.999987
42,0.44428,0.762429,0.683742,0.297615,0.488633,-1.24067e-07,-5.77553e-08,-1.09093e-07,-4.06426e-08,-2.13908e-08,0.999939
43,0.44428,0.762429,0.683742,0.297615,0.488633,-9.00403e-09,-3.80452e-09,-7.48222e-09,-2.66316e-09,-1.26817e-09,0.999986
44,0.44428,0.762429,0.683742,0.297615,0.488633,-3.41306e-08,-1.57109e-08,-3.03383e-08,-9.75161e-09,-5.41756e-09,0.99997
45,0.44428,0.762429,0.683742,0.297615,0.488633,-1.5176e-08,-7.0043e-09,-1.35417e-08,-5.13649e-09,-2.33477e-09,0.999981
46,0.44428,0.762429,0.683742,0.297615,0.488633,-2.37321e-09,-9.36795e-10,-2.06095e-09,-6.55756e-10,-3.12265e-10,0.999994
47,0.44428,0.762429,0.683742,0.297615,0.488633,-8.09048e-07,-4.1278e-07,-7.43003e-07,-2.8069e-07,-1.65112e-07,0.999818
48,0.44428,0.762429,0.683742,0.297615,0.488633,-6.24519e-09,-2.48097e-09,-5.38969e-09,-1.53991e-09,-8.55506e-10,0.999989
49,0.44428,0.762429,0.683742,0.297615,0.488633,-3.56153e-08,-1.32893e-08,-3.08311e-08,-9.56828e-09,-5.31571e-09,0.999971
50,0.444281,0.762429,0.683742,0.297615,0.488633,-2.00639e-09,-1.00319e-09,-1.69986e-09,-6.96663e-10,-2.78665e-10,0.999994
51,0.444281,0.762429,0.683742,0.297615,0.488633,-3.2818e-08,-1.61566e-08,-2.57495e-08,-1.00978e-08,-5.04892e-09,0.999972
52,0.444281,0.762429,0.683742,0.297615,0.488633,-6.11132e-08,-2.57821e-08,-5.06094e-08,-1.8143e-08,-9.54894e-09,0.999961
53,0.444281,0.762429,0.683742,0.297615,0.488633,-1.94534e-08,-8.58238e-09,-1.57344e-08,-6.00766e-09,-2.86079e-09,0.999979
54,0.444281,0.762429,0.683742,0.297615,0.488633,-1.95273e-07,-8.56459e-08,-1.71292e-07,-6.85167e-08,-3.42584e-08,0.999921
55,0.444281,0.762429,0.683742,0.297615,0.488633,-7.91052e-08,-3.81887e-08,-6.9558e-08,-3.27332e-08,-1.36388e-08,0.999951
56,0.444281,0.762429,0.683742,0.297615,0.488633,-2.24724e-08,-1.12362e-08,-1.86099e-08,-8.07601e-09,-3.51131e-09,0.999977
57,0.444281,0.762429,0.683742,0.297615,0.488633,-2.90207e-08,-1.33942e-08,-2.4556e-08,-8.0365e-09,-4.46472e-09,0.999974
